Rk,Name,Age,Tm,Lev,Aff,W,L,W-L%,ERA,RA9,G,GS,GF,CG,SHO,SV,IP▼,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W
66,Darwinzon Hernández*,28,FKA,Fgn,,1,2,0.333,3.35,3.35,42,,,0,0,0,40.1,34,15,15,1,12,0,43,3,0,1,164,1.14,7.6,0.2,2.7,9.6,3.58
67,Taisuke Yamaoka,29,ORX,Fgn,,5,3,0.625,4.25,4.25,41,,,0,0,0,36,42,17,17,1,8,1,32,2,0,0,158,1.389,10.5,0.3,2,8,4
68,Naruki Teranishi,22,ORX,Fgn,,2,3,0.4,5.3,5.55,11,,,0,0,0,35.2,46,22,21,2,15,0,20,0,0,0,163,1.71,11.6,0.5,3.8,5,1.33
69,Shuto Ogata,26,FKA,Fgn,,1,1,0.5,4.67,5.45,38,,,0,0,0,34.2,36,21,18,7,12,1,41,0,0,2,154,1.385,9.3,1.8,3.1,10.6,3.42
70,Sho Iwasaki,35,ORX,Fgn,,4,1,0.8,2.12,2.12,37,,,0,0,0,34,26,8,8,0,10,0,34,1,0,1,136,1.059,6.9,0,2.6,9,3.4
71,Nao Higashihama,35,FKA,Fgn,,4,2,0.667,2.51,3.06,7,,,0,0,0,32.1,30,11,9,2,5,0,19,0,0,0,132,1.082,8.4,0.6,1.4,5.3,3.8
72,Ruei Yang Gu Lin,25,NPN,Fgn,,2,2,0.5,3.62,4.45,7,,,1,1,0,32.1,30,16,13,4,9,1,34,0,0,0,136,1.206,8.4,1.1,2.5,9.5,3.78
73,Taisho Tamai,33,NPN,Fgn,,3,2,0.6,2.25,2.25,40,,,0,0,1,32,23,8,8,1,8,1,23,2,0,0,127,0.969,6.5,0.3,2.3,6.5,2.88
74,Kento Kawase,23,ORX,Fgn,,1,1,0.5,3.66,3.66,23,,,0,0,0,32,32,13,13,1,13,3,18,2,0,2,138,1.406,9,0.3,3.7,5.1,1.38
75,Masahiro Ehara,24,TOH,Fgn,,1,1,0.5,3.45,4.02,30,,,0,0,0,31.1,35,14,12,1,21,1,18,1,0,0,147,1.787,10.1,0.3,6,5.2,0.86
76,Ryo Ohyama,23,FKA,Fgn,,1,1,0.5,2.35,2.64,26,,,0,0,1,30.2,30,9,8,1,12,2,21,1,0,0,134,1.37,8.8,0.3,3.5,6.2,1.75
77,Raiku Katayama,22,ORX,Fgn,,1,0,1,2.1,2.4,21,,,0,0,1,30,30,8,7,2,6,1,18,1,0,1,126,1.2,9,0.6,1.8,5.4,3
78,Yuta Kuroki,30,SEI,Fgn,,1,1,0.5,3.38,4.6,29,,,0,0,0,29.1,24,15,11,1,13,1,25,0,0,4,123,1.261,7.4,0.3,4,7.7,1.92
79,Shota Suzuki*,26,LOT,Fgn,,1,3,0.25,4.82,4.82,29,,,0,0,5,28,32,15,15,1,8,0,27,2,0,2,122,1.429,10.3,0.3,2.6,8.7,3.38
80,Ichiro Tamura,30,SEI,Fgn,,0,1,0,3.58,4.23,20,,,0,0,0,27.2,26,13,11,4,7,1,20,2,0,0,116,1.193,8.5,1.3,2.3,6.5,2.86
81,Keisuke Sawada,31,LOT,Fgn,,1,1,0.5,3.95,3.95,29,,,0,0,1,27.1,25,12,12,3,8,0,21,0,0,0,113,1.207,8.2,1,2.6,6.9,2.63
82,Soichiro Yamazaki,27,ORX,Fgn,,2,1,0.667,4.28,4.61,28,,,0,0,0,27.1,24,14,13,5,11,0,32,2,0,2,116,1.28,7.9,1.6,3.6,10.5,2.91
83,Taisei Tsurusaki,27,TOH,Fgn,,0,0,,3.62,4.61,17,,,0,0,0,27.1,30,14,11,2,7,0,26,3,0,2,122,1.354,9.9,0.7,2.3,8.6,3.71
84,Tomotaka Matsui,25,TOH,Fgn,,1,3,0.25,6,6,13,,,0,0,0,27,31,18,18,4,19,2,25,1,0,1,127,1.852,10.3,1.3,6.3,8.3,1.32
85,Drew VerHagen,34,NPN,Fgn,,3,3,0.5,6.08,6.08,6,,,0,0,0,26.2,28,18,18,4,6,0,22,1,1,0,113,1.275,9.5,1.4,2,7.4,3.67
86,Roberto Osuna,30,FKA,Fgn,,3,1,0.75,4.15,4.15,26,,,0,0,8,26,23,12,12,2,6,1,16,3,0,0,106,1.115,8,0.7,2.1,5.5,2.67
87,Kohei Azuma,25,ORX,Fgn,,1,2,0.333,3.12,3.46,6,,,0,0,0,26,21,10,9,0,14,0,13,2,0,1,113,1.346,7.3,0,4.8,4.5,0.93
88,Takumi Yamamoto,25,NPN,Fgn,,2,2,0.5,3.51,3.86,27,,,0,0,1,25.2,23,11,10,0,10,1,30,0,0,0,110,1.286,8.1,0,3.5,10.5,3
89,Akira Yagi,28,LOT,Fgn,,0,1,0,5.96,5.96,27,,,0,0,0,25.2,32,17,17,3,7,1,25,3,0,0,117,1.519,11.2,1.1,2.5,8.8,3.57
90,Shota Watanabe,24,TOH,Fgn,,1,0,1,3.86,3.86,26,,,0,0,1,25.2,29,11,11,1,14,1,20,0,0,1,119,1.675,10.2,0.4,4.9,7,1.43
91,Ren Mukunoki,25,ORX,Fgn,,0,2,0,6.93,8.03,12,,,0,0,0,24.2,36,22,19,2,7,0,19,1,0,0,115,1.743,13.1,0.7,2.6,6.9,2.71
92,Riku Kikuchi,25,LOT,Fgn,,0,1,0,5.32,5.32,21,,,0,0,0,23.2,24,14,14,6,13,0,19,0,0,2,108,1.563,9.1,2.3,4.9,7.2,1.46
93,Nobuyoshi Yamada*,33,ORX,Fgn,,2,2,0.5,4.24,4.63,28,,,0,0,0,23.1,25,12,11,2,10,0,21,0,0,0,107,1.5,9.6,0.8,3.9,8.1,2.1
94,Yuki Tsumori,27,FKA,Fgn,,1,1,0.5,3.38,3.38,22,,,0,0,1,21.1,27,8,8,2,8,2,25,4,0,1,103,1.641,11.4,0.8,3.4,10.5,3.13
95,Koshiro Hiroike,22,LOT,Fgn,,1,3,0.25,4.87,4.87,18,,,0,0,0,20.1,21,11,11,4,6,0,20,0,0,0,87,1.328,9.3,1.8,2.7,8.9,3.33
96,Taiga Ueda,23,SEI,Fgn,,0,2,0,6.75,6.75,4,,,0,0,0,20,30,15,15,1,6,0,6,1,0,0,94,1.8,13.5,0.5,2.7,2.7,1
97,Tayron Guerrero,34,LOT,Fgn,,1,3,0.25,6.41,6.41,21,,,0,0,1,19.2,22,14,14,4,8,0,15,1,0,1,89,1.525,10.1,1.8,3.7,6.9,1.88
98,Naoki Miyanishi*,40,NPN,Fgn,,1,1,0.5,3.2,4.12,31,,,0,0,0,19.2,23,9,7,1,8,1,14,0,0,3,91,1.576,10.5,0.5,3.7,6.4,1.75
99,Shunsuke Sato*,25,SEI,Fgn,,0,2,0,6.41,6.41,20,,,0,0,0,19.2,24,14,14,2,10,1,13,2,0,1,93,1.729,11,0.9,4.6,5.9,1.3
100,Kazuma Satoh*,24,ORX,Fgn,,1,1,0.5,6.75,6.75,3,,,0,0,0,13.1,22,10,10,5,5,0,13,0,0,0,64,2.025,14.9,3.4,3.4,8.8,2.6
