Rk,Name,Age,Tm,Lev,Aff,W,L,W-L%,ERA,RA9,G,GS,GF,CG,SHO,SV,IP▼,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W
61,Haruto Takahashi*,29,HAN,Fgn,,3,1,0.75,2.28,3.32,8,,,0,0,0,43.1,38,16,11,3,8,0,48,0,0,0,174,1.062,7.9,0.6,1.7,10,6
62,Tomoya Hoshi,31,YKU,Fgn,,1,2,0.333,1.67,1.67,44,,,0,0,17,43,38,8,8,2,13,3,41,1,0,1,177,1.186,8,0.4,2.7,8.6,3.15
63,Rowan Wick,32,YKO,Fgn,,4,1,0.8,0.84,0.84,40,,,0,0,5,42.2,25,4,4,0,11,0,49,3,0,1,161,0.844,5.3,0,2.3,10.3,4.45
64,Kota Shoji*,25,YKU,Fgn,,2,1,0.667,1.05,1.05,45,,,0,0,0,42.2,19,5,5,1,17,0,53,2,0,0,160,0.844,4,0.2,3.6,11.2,3.12
65,Shota Nakazaki,32,HIR,Fgn,,3,2,0.6,2.36,2.57,51,,,0,0,0,42,36,12,11,2,9,2,29,4,0,1,172,1.071,7.7,0.4,1.9,6.2,3.22
66,Keiji Takahashi*,28,YKU,Fgn,,3,2,0.6,2.36,2.36,8,,,0,0,0,42,34,11,11,3,16,1,41,1,0,2,175,1.19,7.3,0.6,3.4,8.8,2.56
67,Takuya Yasaki,30,YKU,Fgn,,2,0,1,1.93,1.93,45,,,0,0,0,42,26,9,9,1,14,1,34,0,0,1,162,0.952,5.6,0.2,3,7.3,2.43
68,Taichi Ishiyama,36,YKU,Fgn,,3,3,0.5,2.21,2.43,42,,,0,0,14,40.2,23,11,10,3,8,1,38,1,0,0,153,0.762,5.1,0.7,1.8,8.4,4.75
69,Yuki Hashimoto*,27,CNI,Fgn,,2,3,0.4,3.38,3.6,42,,,0,0,0,40,38,16,15,3,12,2,40,1,0,2,167,1.25,8.6,0.7,2.7,9,3.33
70,Naofumi Kizawa,27,YKU,Fgn,,2,1,0.667,3.4,3.4,42,,,0,0,0,39.2,40,15,15,2,21,3,24,4,1,3,182,1.538,9.1,0.5,4.8,5.4,1.14
71,Takuma Kirishiki*,26,HAN,Fgn,,2,1,0.667,2.84,3.08,43,,,0,0,1,38,45,13,12,0,7,2,35,2,0,0,166,1.368,10.7,0,1.7,8.3,5
72,Shunya Morita*,28,YOM,Fgn,,3,4,0.429,3.58,4.54,9,,,0,0,0,37.2,35,19,15,4,14,2,25,1,0,1,162,1.301,8.4,1,3.3,6,1.79
73,Yu Takeda,25,YKO,Fgn,,4,1,0.8,1.69,1.69,6,,,0,0,0,37.1,23,7,7,3,10,1,27,1,0,0,141,0.884,5.5,0.7,2.4,6.5,2.7
74,Yuya Sakamoto*,27,YKO,Fgn,,4,1,0.8,3.16,3.41,35,,,0,0,0,37,35,14,13,2,10,2,33,1,0,2,157,1.216,8.5,0.5,2.4,8,3.3
75,Atsuki Yuasa,25,HAN,Fgn,,4,4,0.5,2.52,2.52,40,,,0,0,0,35.2,26,10,10,1,15,2,27,2,0,1,144,1.15,6.6,0.3,3.8,6.8,1.8
76,Kouya Takahashi*,26,HIR,Fgn,,2,1,0.667,2.57,3.34,24,,,0,0,0,35,31,13,10,2,9,1,26,2,0,1,141,1.143,8,0.5,2.3,6.7,2.89
77,Kenya Suzuki,27,HIR,Fgn,,2,0,1,1.89,2.16,24,,,0,0,0,33.1,27,8,7,1,8,1,19,3,1,0,137,1.05,7.3,0.3,2.2,5.1,2.38
78,Kohki Saitoh*,28,CNI,Fgn,,4,0,1,1.64,1.64,42,,,0,0,0,33,22,6,6,1,16,2,29,4,0,0,136,1.152,6,0.3,4.4,7.9,1.81
79,Mizuki Miura*,25,CNI,Fgn,,2,3,0.4,4.64,5.45,7,,,0,0,0,33,38,20,17,4,22,1,21,1,1,1,157,1.818,10.4,1.1,6,5.7,0.95
80,Nick Nelson,29,HAN,Fgn,,2,1,0.667,1.93,1.93,23,,,0,0,0,32.2,29,7,7,2,9,1,25,2,0,3,136,1.163,8,0.6,2.5,6.9,2.78
81,Yuta Iwasada*,33,HAN,Fgn,,3,1,0.75,2.12,2.12,29,,,0,0,0,29.2,30,7,7,1,7,0,22,0,0,1,123,1.247,9.1,0.3,2.1,6.7,3.14
82,Shunsuke Shimokawa,25,YKU,Fgn,,2,1,0.667,2.73,2.73,9,,,0,0,0,29.2,19,9,9,2,7,0,20,2,0,0,112,0.876,5.8,0.6,2.1,6.1,2.86
83,Jeremy Beasley,29,HAN,Fgn,,1,3,0.25,4.6,4.91,8,,,0,0,0,29.1,35,16,15,0,12,2,25,3,0,1,132,1.602,10.7,0,3.7,7.7,2.08
84,Masanori Ishikawa*,45,YKU,Fgn,,2,4,0.333,8.13,9.11,8,,,0,0,0,27.2,42,28,25,3,9,1,9,2,0,0,134,1.843,13.7,1,2.9,2.9,1
85,Akiyoshi Katsuno,28,CNI,Fgn,,4,4,0.5,5,5.33,25,,,0,0,0,27,27,16,15,2,11,1,34,1,0,3,117,1.407,9,0.7,3.7,11.3,3.09
86,Yugo Umeno,26,CNI,Fgn,,2,1,0.667,4.05,4.05,26,,,0,0,0,26.2,20,12,12,2,14,1,25,2,0,2,114,1.275,6.8,0.7,4.7,8.4,1.79
87,Johan Domínguez,29,HIR,Fgn,,1,1,0.5,3.71,3.71,6,,,0,0,0,26.2,18,11,11,2,17,0,20,1,0,1,114,1.313,6.1,0.7,5.7,6.8,1.18
88,Hayato Tsunehiro,23,HIR,Fgn,,2,4,0.333,7.96,9.69,7,,,0,0,0,26,37,28,23,2,4,0,21,4,0,1,125,1.577,12.8,0.7,1.4,7.3,5.25
89,Shintaro Fujinami,31,YKO,Fgn,,1,0,1,4.09,4.09,6,,,0,0,0,22,20,10,10,1,9,0,19,2,0,3,95,1.318,8.2,0.4,3.7,7.8,2.11
90,Chihaya Sasaki,31,YKO,Fgn,,2,1,0.667,4.15,4.15,20,,,0,0,0,21.2,20,10,10,1,11,1,20,1,0,0,94,1.431,8.3,0.4,4.6,8.3,1.82
91,Rafael Dolis,37,HAN,Fgn,,2,2,0.5,1.93,1.93,20,,,0,0,0,18.2,14,4,4,1,5,0,16,0,0,0,74,1.018,6.8,0.5,2.4,7.7,3.2
92,Ryuta Heinai,26,YOM,Fgn,,1,1,0.5,5.74,5.74,12,,,0,0,0,15.2,18,10,10,1,1,0,9,0,0,0,63,1.213,10.3,0.6,0.6,5.2,9
93,Hiroya Shimamoto*,32,HAN,Fgn,,2,1,0.667,1.88,1.88,16,,,0,0,0,14.1,12,3,3,1,3,1,6,1,0,0,56,1.047,7.5,0.6,1.9,3.8,2
94,Atsushi Endoh,26,HIR,Fgn,,1,2,0.333,5.79,6.43,7,,,0,0,0,14,19,10,9,2,6,2,15,0,0,0,68,1.786,12.2,1.3,3.9,9.6,2.5
95,Alberto Baldonado*,32,YOM,Fgn,,1,0,1,3.29,3.29,19,,,0,0,0,13.2,8,5,5,0,10,0,13,0,0,1,58,1.317,5.3,0,6.6,8.6,1.3
96,Grant Hartwig,27,HAN,Fgn,,2,0,1,3.65,3.65,16,,,0,0,0,12.1,9,5,5,1,7,0,8,1,0,1,53,1.297,6.6,0.7,5.1,5.8,1.14
97,Daiki Hayakawa,25,HAN,Fgn,,2,0,1,0,0,3,,,0,0,0,11.1,8,0,0,0,2,0,5,1,1,0,42,0.882,6.4,0,1.6,4,2.5
98,Mao Itoh,24,CNI,Fgn,,1,0,1,0.79,1.59,12,,,0,0,0,11.1,9,2,1,0,5,0,5,0,0,0,46,1.235,7.1,0,4,4,1
99,Taiki Kikuchi,26,YOM,Fgn,,1,1,0.5,1.8,2.7,7,,,0,0,0,10,7,3,2,1,4,1,16,0,0,0,41,1.1,6.3,0.9,3.6,14.4,4
100,Sho Iwasaki,35,CNI,Fgn,,1,0,1,2.08,2.08,4,,,0,0,0,4.1,9,1,1,1,0,0,3,0,0,0,22,2.077,18.7,2.1,0,6.2,
